Model,Accuracy,Precision,Recall,F1
KNN,0.6333333333333333,0.6176470588235294,0.7,0.65625
Decision Tree,0.6166666666666667,0.6060606060606061,0.6666666666666666,0.6349206349206349
Random Forest,0.6833333333333333,0.7037037037037037,0.6333333333333333,0.6666666666666666
SVM,0.7333333333333333,0.75,0.7,0.7241379310344828
Logistic Regression,0.7,0.6764705882352942,0.7666666666666667,0.71875
