black_ratio,edge_ratio,mean_intensity,std_intensity,center_x,center_y,contour_count,bbox_area,aspect_ratio,horizontal_density_std,vertical_density_std,cell_occupancy_count,cell_density_std,symmetry_score,label
0.015869140625,0.11639404296875,241.28009033203125,38.460171528931184,0.364453125,0.6198317307692308,12,0.5802001953125,1.0103092783505154,2.82272447070202,2.8199553963671127,3,0.028867499694374923,0.029541015625,0
0.01702880859375,0.132080078125,242.84130859375,42.08129818436371,0.45883736559139787,0.6495855734767025,19,0.630126953125,0.7672413793103449,2.7766706506792898,4.3489107719455165,4,0.0282907660686954,0.0303955078125,0
0.0096435546875,0.02166748046875,251.99835205078125,23.103287626217444,0.5666534810126582,0.5575553797468354,24,0.92315673828125,0.968,1.8349232570805243,1.3079347687767153,8,0.011288039217179895,0.0185546875,0
0.0128173828125,0.1326904296875,243.530517578125,39.891271248262136,0.5746651785714286,0.41328125,21,0.619384765625,1.372093023255814,2.6684920103637184,2.1276981950866527,6,0.016083197976895062,0.025390625,0
0.01513671875,0.1219482421875,243.80877685546875,40.58698784875242,0.31290952620967744,0.5212008568548387,16,0.65716552734375,0.8738738738738738,3.261398281412437,2.429473965697101,5,0.02233853365956616,0.0283203125,0
0.0208740234375,0.11944580078125,240.073974609375,40.912613456812345,0.5385599415204678,0.4668768274853801,21,0.48101806640625,0.6396396396396397,3.290871310819522,3.955039062307097,5,0.0329759342266604,0.0390625,0
0.01336669921875,0.12164306640625,243.9456787109375,39.991962124270884,0.6850028538812786,0.4490938926940639,29,0.7706298828125,1.102803738317757,2.4785086990151455,2.1547634141811836,6,0.0178864251750206,0.0267333984375,0
0.008056640625,0.015869140625,252.2987060546875,22.237306734982667,0.49852035984848486,0.7279829545454546,22,0.287353515625,0.411214953271028,1.9118769409928036,1.9880011160711153,3,0.016635635415941846,0.01513671875,0
0.07769775390625,0.11956787109375,234.51470947265625,67.14879992585851,0.5212895227808326,0.5062905047132757,6,1.0,1.0,19.061294467515676,19.00958170968903,15,0.05047629562753738,0.1043701171875,0
0.01202392578125,0.13543701171875,243.23138427734375,39.63540643477485,0.41402284263959394,0.4492782360406091,25,0.8203125,1.0714285714285714,2.304555080941601,1.7089028998435662,6,0.013861163268036821,0.0238037109375,0
0.0068359375,0.01666259765625,252.82244873046875,19.736018005135474,0.67236328125,0.5709402901785714,15,0.61871337890625,0.8532110091743119,1.5206906325745548,1.4737282653189494,4,0.01170348126387391,0.013671875,0
0.014892578125,0.1212158203125,243.971923828125,40.19656224138387,0.4848872950819672,0.5991290983606558,16,0.64984130859375,0.7777777777777778,2.4187984491271695,3.0934343273294167,6,0.020363435704772233,0.029541015625,0
0.01483154296875,0.122802734375,243.84051513671875,40.44718014241432,0.44309413580246915,0.4366962448559671,17,0.89263916015625,0.936,2.624523301209907,2.6482300803732577,6,0.02235245421736534,0.0289306640625,0
0.0087890625,0.0174560546875,252.51153564453125,21.129038508557194,0.5410698784722222,0.6131727430555556,11,0.95367431640625,1.0,1.6770509831248424,1.489546910976623,6,0.012318824034709828,0.017333984375,0
0.0081787109375,0.0198974609375,252.1934814453125,22.128454477154687,0.5333488805970149,0.3984375,27,0.52685546875,1.2530120481927711,1.5353103055652952,1.7359227328354796,6,0.011366968316655634,0.016357421875,0
0.02301025390625,0.13037109375,241.728271484375,44.99760889416149,0.39653100132625996,0.5347107095490716,21,0.856689453125,1.043103448275862,4.077967848983578,3.2071906362646656,7,0.027271652539166483,0.0440673828125,0
0.01165771484375,0.11297607421875,245.025390625,37.72455345582188,0.5301865183246073,0.5971858638743456,15,0.52734375,0.9375,2.0953672625207616,1.709331437973265,5,0.017888924297139105,0.0233154296875,0
0.0123291015625,0.1217041015625,244.2412109375,39.01248574297888,0.5722462871287128,0.5772741336633663,18,0.4254150390625,0.9647058823529412,2.127239169528194,3.156366025095157,4,0.021696603035379555,0.024658203125,0
0.07574462890625,0.1240234375,234.64959716796875,66.61121279853732,0.4946112006446414,0.4647398771152296,19,1.0,1.0,18.723547421024247,18.877714454545174,16,0.03856026119305465,0.1036376953125,0
0.01171875,0.0299072265625,251.0225830078125,26.533211845309467,0.661865234375,0.5282796223958334,43,0.71728515625,1.0865384615384615,2.003902442735175,2.011684617428885,6,0.01566690547571723,0.0234375,0
0.005615234375,0.11614990234375,249.77215576171875,20.59334463730305,0.42892323369565216,0.6841032608695652,17,0.69580078125,0.7916666666666666,1.5203695068962677,1.117597171390479,5,0.007929873910601423,0.01123046875,0
0.0753173828125,0.1279296875,234.63238525390625,66.33116842637864,0.5197654983792545,0.49038948541329014,12,1.0,1.0,18.80439375809215,18.813531688903467,15,0.03391687991257222,0.1025390625,0
0.0787353515625,0.12701416015625,233.96649169921875,67.26323792763908,0.48756661821705427,0.4994488856589147,10,1.0,1.0,18.97721058228461,18.690994395279642,15,0.0390363605778823,0.108154296875,0
0.0107421875,0.12860107421875,244.7452392578125,30.799838364077537,0.6697443181818182,0.5919744318181818,14,0.5322265625,1.3625,2.172268399622846,1.7230060940112777,5,0.016666062661988293,0.021484375,0
0.045654296875,0.1365966796875,234.09136962890625,52.08867550577939,0.5708869485294118,0.5391251671122995,21,0.9307861328125,1.0245901639344261,6.755134042896558,4.600335415760464,10,0.047111550149631254,0.084228515625,0
0.0096435546875,0.02056884765625,251.98211669921875,23.939366054306543,0.5374802215189873,0.5671479430379747,20,0.7967529296875,0.8770491803278688,1.8178127954701495,1.325733140332171,5,0.012977974609855733,0.0185546875,0
