Feature,Importance
edge_ratio,0.1362056752316826
cell_density_std,0.09641737421009729
mean_intensity,0.08696225001778629
symmetry_score,0.07587281637579463
horizontal_density_std,0.07444226728608618
vertical_density_std,0.07287429286633776
contour_count,0.07103169176299531
std_intensity,0.06511332309037608
black_ratio,0.06407319092686946
aspect_ratio,0.05601790921898501
bbox_area,0.055414399502602546
center_y,0.05497745045513432
center_x,0.05420316101984548
cell_occupancy_count,0.03639419803540697
