Feature Set,Accuracy,F1
Basic,0.6833333333333333,0.6666666666666666
Spatial,0.48333333333333334,0.5079365079365079
Complexity,0.55,0.5423728813559322
Cell-based,0.6,0.6
All Features,0.6833333333333333,0.6666666666666666
