feature,importance
product_price,0.22940657265802694
time_on_page,0.21637348640523632
user_age,0.1691362842209219
product_rating,0.16870719692026073
click,0.025256924140656313
user_gender_Male,0.01853860752573498
user_gender_Female,0.01821448414753282
product_type_Home,0.01751492747336329
user_location_Kolkata,0.017402015436558026
product_type_Electronics,0.01590328246202915
user_location_Mumbai,0.01573929349882215
product_type_Books,0.015201725175972323
product_type_Toys,0.015106009909797446
user_location_Chennai,0.015082598647476226
product_type_Clothing,0.014930576621626317
user_location_Delhi,0.014113032683000277
user_location_Bangalore,0.013372982072984827
